BL 提单,BL Bill of Lading
收款管理 · Payment Entry,Receipts · Payment Entry
收款统计,Receipt Statistics
收款维度,By receipts
数值,Number
数量,Qty
文件夹,Folder
文件夹 / 状态,Folder / Status
文件夹 · 群发成功率,Folders · bulk send success
文件管理,Files
文档 · 组织 · 权限 · 检查 · 日历,Docs · org · roles · checks · calendar
新商机,New Opportunities
新邮件,New Mail
无,None
无权限查看该报表（报表角色限制）,No access to this report (role restricted)
日,Sun
日期,Date
日期格式,Date Format
时区,Time Zone
时区 · 语言 · 日期格式 · 区域显示 —— 系统级与个人级配置（中英文配置）,Time zone · language · date format · region — system & personal settings (zh/en)
时间,Time
明细,Items
星期,Weekday
暂无商机,No opportunities
暂无报价,No quotations
暂无相关邮件,No related mails
暂无订单,No orders
暂无跟进记录,No follow-ups yet
暂无邮件,No mails
月,month
有效期至,Valid Until
服务商,Service Provider
服务商信息,Provider Info
服务商名称,Provider Name
期间,Period
未分组,Ungrouped
未发送,Not Sent
未设置区域,No territory
本位币,Base Currency
来料验货单,Inspection Order
来源币种,Source Currency
柜号,Container No.
查看,View
标题,Title
检查主题,Title
检查人（主管）,Checker (Manager)
检查信息,Check Info
检查反馈,Feedback
检查日期,Check Date
检查项,Check Item
检验人 · 验货明细 · 结论,Inspector · items · conclusion
检验数量,Inspected Qty
检验机构,Agency
检验标准,Standard
检验结论,Conclusion
检验项目,Inspection Item
模板,Template
模板名称,Template Name
正文,Body
正文（可用变量 {{customer_name}} {{company_name}}）,Body (variables: {{customer_name}} {{company_name}})
每周,Weekly
每日,Daily
每日/每周自检 · 待办提醒,Daily/weekly self-check · ToDo reminders
每月,Monthly
毛利,Gross Profit
毛利率 %,Gross Margin %
毛重(KG),Gross Wt (KG)
汇率,Rate
沟通记录,Communications
没有可合并的客户,No customers to merge
海运,Sea
海运费及港杂,Freight & Port Charges
港口,Port
港口名称,Port Name
热点,Hot
物料,Item
物料名称,Item Name
物料报关编码 · 海关商品,HS code · customs item
状态,Status
生产,Production
生产任务单,Production Plan
生产任务单 → 生产进度,Production Plan → progress
生产汇总,Production Summary
生产链路,Production Pipeline
生成日期,Generated On
用户,User
用户参数,Users
申报要素,Declaration Elements
申请人,Applicant
电话,Phone
电话/邮件/拜访 · 公海回收依据,phone/email/visit · pool recall basis
界面语言,Language
登出,Log out
登录,Log in
目标币种,Target Currency
目的港,Destination Port
相关邮件,Related Mails
移交,Handover
移交客户,Handover Customer
移交成功,Handover complete
移交至,Handover To
税率,Tax Rate
空运,Air
端口,Port
笔数,Count
签名,Signature
类型,Type
系列,Series
系统区域,System Region
系统区域设置已保存（刷新页面生效）,System settings saved (reload to apply)
系统参数,System Parameters
线索,Lead
线索分发,Lead Distribution
线索名称,Lead Name
线索数,Leads
线索统计,Lead Statistics
经营结果分析,Business analytics
结果,Result
结论说明,Notes
统计设置,Statistics Settings
编码,Code
缺口,Gap
网站留言,Website Message
网站留言代码,Website Lead Code
网站询盘 · 分发跟踪 · 转客户,Website inquiry · distribution · convert
置顶,Pinned
联系人,Contact
船公司,Carrier
船名航次,Vessel / Voyage
节假日,Holiday
节假日 · 跟进 · 出运 · 检查,Holidays · follows · shipments · checks
节假日 · 跟进提醒 · 出运计划 · 商机成交 · 工作检查,Holidays · follow-ups · shipments · deals · checks
英文名称,English Name
草稿,Draft
草稿箱,Drafts
营销与获客,Marketing & Acquisition
营销主题 · {{customer_name}} 变量,Subject · {{customer_name}} variable
营销活动,Campaigns
表单仅暴露提交入口（Web Form 发布页），不暴露任何列表查询接口；字段白名单固定（姓名/公司/邮箱/电话/留言），提交自动生成线索并标记来源。,The form only exposes the public submit page (Web Form); no list/query API is exposed. Fields are whitelisted (name/company/email/phone/message); submissions create a Lead with source marked.
表单预览,Form Preview
被分发人,Assigned To
被检查人,Assignee
装运港,Port of Loading
装运港/卸货港 · 贸易术语 · 出运明细,Loading/discharge port · incoterms · details
规划中,Planned
角色,Role
角色权限,Roles
订单,Order
订单利润,Order Profit
订单利润报表,Order Profit report
订单数,Orders
订单维度利润,Profit by order
订单维度利润分析,Profit analysis by order
订单额,Order Value
让步接收,Accepted w/ Concession
该客户已合并至,This customer was merged into
该群发任务已发送,This bulk task has already been sent
语言,Language
语言/时区/日期 · 中英文切换,language/timezone/date · zh/en switch
说明,Description
请先添加收件客户,Add recipients first
请指定主客户与待合并客户,Specify the master and the customers to merge
请至少选择一个待合并客户,Select at least one customer to merge
请选择一个客户查看 360 视图,Pick a customer to see its 360 view
负责人,Owner
负责人：,Owner: 
财务,Finance
财务结算链路,Finance & Settlement Pipeline
账号信息,Account Info
货代,Freight Forwarder
货代 · 船公司 · 报关行,forwarder · carrier · customs broker
贸易术语,Incoterms
费用,Expense
费用报销,Expense Reimbursement
费用报销单的状态机（Workflow：费用报销审批）,Expense Reimbursement state machine (Workflow: Expense Approval)
费用报销审批流,Expense Approval Workflow
费用日期,Expense Date
费用管理 · 审批受控,Expenses · approval controlled
费用类型,Expense Type
费用统计,Expense Statistics
费用维度,By expense
赢单率,Win Rate
起,from
跟进,Follow-up
跟进人,Followed By
跟进内容,Follow-up Content
跟进提醒,Follow-up
跟进数,Follow-ups
跟进方式,Method
跟进日期,Follow-up Date
跟进时间线,Follow-up Timeline
转化率,Conversion
运费,Freight
运输方式,Transport Mode
返工,Rework
退货,Return
选择客户…,Select a customer…
通知公告 · 置顶/有效期,notices · pin/expiry
通讯,Communication
邮件,Mail
邮件中心,Mail Center
邮件主题,Subject
邮件模板,Email Template
邮件正文,Body
邮件统计,Mail Statistics
邮件群发,Bulk Email
邮箱,Email
邮箱地址,Email Address
邮箱账号,Mail Account
部分失败,Partially Failed
部门,Department
采购与来料检验,Purchasing & Inspection
采购入库,Purchase Receipt
采购收货单,Purchase Receipt
采购检验,Purchasing & Inspection
采购统计,Purchase Statistics
采购维度,By purchase
采购订单,Purchase Order
重新提交,Resubmit
金额,Amount
铁路,Rail
销售,Sales
销售/采购链路共用的主数据,master data shared by sales & purchasing
销售订单,Sales Order
附件,Attachment
预计到港,ETA
预计开船,ETD
频率,Frequency
驳回,Reject
驳回后可修改并,; rejected documents can be edited and
验货人,Inspector
验货信息,Inspection Info
验货日期,Inspection Date
默认公司,Default Company
业务总览,Business Overview
销售额,Sales
待办,ToDos
应收账款,Receivables
今日汇率,Today's Exchange Rate
销售订单趋势,Sales Order Trend
采购订单趋势,Purchase Order Trend
模块导航,Module Navigation
快捷入口,Quick Links
通知,Notifications
登录日志,Login Log
邮件队列,Email Queue
营销,Marketing
自动邮件报告,Auto Email Report
产品,Products
商品,Items
商品组,Item Groups
销售管理,Sales Management
出运,Shipments
交货单,Delivery Note
采购,Purchasing
采购收货,Purchase Receipt
质检,Quality Inspection
生产计划,Production Plan
工单,Work Order
物料清单,BOM
销售发票,Sales Invoice
采购发票,Purchase Invoice
日记账,Journal Entry
出入库,Stock Transfers
盘点,Stock Reconciliation
文件,Files
统计,Analytics
销售分析,Sales Analytics
采购分析,Purchase Analytics
应收款,Receivables
应付款,Payables
库存流水,Stock Ledger
设置,Settings
公司,Company
工作流,Workflow
条款,Terms
币种,Currencies
打印格式,Print Format
采购与库存,Purchasing & Inventory
外贸基础数据,Foreign Trade Master Data
审核设置,Workflow Settings
ERP工作台,ERP Workbench
360 视图,360 View
一键出 PDF,One-click PDF
下属邮件,Subordinates' Mail
下属邮件（本部门，只读）,"Subordinates' Mail (dept, read-only)"
业务流程总览,Business Flow Overview
交货单 · 销售出库,Delivery Note · Outbound
从订单生成,Generate from Order
入库单 · 其他入库,Stock Entry · Other Inbound
内贸订单 · 不走出运/单证,Domestic Order · No shipping/docs
分发,Distribute
分发失败,Distribution failed
分发成功，已写入分发记录。,Distributed; log written.
分发线索,Distribute Lead
分发给,Distribute to
分发邮件,Distribute Mail
创建,Create
国际贸易术语 · 订单/出运用,Incoterms · for orders/shipment
审批通过,Approved
导出,Export
导出失败,Export failed
工作台首页 · 业务数据,Desk Home · Business Data
库存余额报表,Stock Balance Report
库存汇总,Stock Summary
建档,Create Profile
建档失败,Profile creation failed
开始日期,Start Date
归档,Archive
待办事项,To-do
收款/付款管理,Payment Mgmt
收款管理 · 收付款单,Payment Mgmt · Payment Entry
文档管理,Document Mgmt
标准销售,Domestic Sales
标准销售主链路,Domestic Sales Pipeline
正在生成 PDF…,Generating PDF…
生产汇总报表,Production Summary Report
移交成功，已留痕。,Handover done; log written.
组织模块未启用 · 规划中,Org module not enabled · planned
结束日期,End Date
营销活动 · 营销计划,Campaign · Marketing Plan
费用报销单的状态流转（工作流：费用报销审批）,Expense claim state flow (Workflow: Expense Reimbursement Approval)
邮件建档到客户,File mail to Customer
部门暂无邮件,No mail in dept
销售发票 · 开票,Sales Invoice · Billing
非外贸销售 · 客户 → 商机 → 报价 → 订单 → 交货 → 开票 → 收款 → 利润,Non-trade sales · Customer → Opportunity → Quotation → Order → Delivery → Invoicing → Payment → Profit
（单据受控不可再改）,(document is locked)
